,"date of 
loss",date signed,date closed,,,,,Initial Reserve - Bld,Adj Reserve - Bld,Settlement Amt - Bld,Variance ($) (Stl - Init Rsv) - Bld,Variance (% of Stl) (Stl - Init Rsv) - Bld,Initial Reserve - Cont,Adj Reserve - Cont,Settlement Amt - Cont,Variance ($) (Stl - Init Rsv) - Cont,Variance (% of Stl) (Stl - Init Rsv) - Cont,Initial Reserve - BI,Adj Reserve - BI,Settlement Amt - BI,Variance ($) (Stl - Init Rsv) - BI,Variance (% of Stl) (Stl - Init Rsv) - BI,Fee - Bld,Fee - Cont,Fee - BI,Fees Collected,Write off,A/R,,,,,,,,,Comments,,
File #,D/L,D/S,D/C,Status,Insured,City,State,Initial Reserve - Bld,Adj Reserve - Bld,Settlement Amt - Bld,Variance ($)  - Bld,Variance (% of Stl)  - Bld,Initial Reserve - Cont,Adj Reserve - Cont,Settlement Amt - Cont,Variance ($)  - Cont,Variance (% of Stl)  - Cont,Initial Reserve - BI,Adj Reserve - BI,Settlement Amt - BI,Variance ($)  - BI,Variance (% of Stl)  - BI,Fee - Bld,Fee - Cont,Fee - BI,Fees Collected,Write off,A/R,Solicitors 1,Solicitors 2,Assigned Adjusters & Support 1,Assigned Adjusters & Support 2,Assigned Adjusters & Support 3,Assigned Adjusters & Support 4,Assigned Adjusters & Support 5,Assigned Adjusters & Support 6,Comments,,
2018128IL,9/3/18,9/14/18,11/25/20,Closed,,Minneapolis,MN," $1,694,700 ",," $1,418,126 ","$276,574",-20%," $1,550,587 ",," $485,095 ","$1,065,492",-220%," $400,000 ",," $485,749 ","$85,749",18%,5.00%,5.00%,0.00%,"$119,423",$0,$0,Solicitor 1 SJG,Solicitor 2 MTN,Lead GCB,Building Adjuster MAM,BI Adjuster GCB,BI Support YXG,"Contents Adjuster GCB
Contents Adjuster RWS",Building Adjuster GCB,,,
2015127IL,8/17/15,8/20/15,11/25/20,Closed,,Weston,WI," $300,000 ",," $294,610 ","$5,390",-2%," $10,000 ",," $46,183 ","$36,183",78%, $-   ,," $27,671 ","$27,671",100%,10.00%,10.00%,10.00%,"$38,846",,,Solicitor 1 SJG,,BI Adjuster DXC,Contents Adjuster DXC,Contents Adjuster RWS,Building Adjuster DXC,Lead DXC,BI Support WMB,,,
2020006,1/1/20,1/2/20,11/25/20,Closed,,Southfield,MI," $500,000 ",," $1,080,971 ","$580,971",54%, $-   ,, $-   ,$0,#DIV/0!," $50,000 ",," $135,883 ","$85,883",63%,7.00%,0.00%,7.00%,"$84,830",$0,$0,Solicitor 1 LMF,Solicitor 2 CMG,BI Adjuster LMF,Building Support AXQ,Building Adjuster LMF,Lead LMF,,,,,
2019166,11/18/19,12/4/19,11/25/20,Closed,,Ann Arbor,MI," $250,000 ",," $674,542 ","$424,542",63%, $-   ,, $-   ,$0,#DIV/0!, $-   ,, $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$67,454",$0,$0,Solicitor 1 DC1,Solicitor 2 GCB,Lead GCB,Building Adjuster MAM,Contents Adjuster GCB,Building Adjuster GCB,Contents Adjuster RWS,Building Support DXW,,,
2018147,10/17/18,10/18/18,11/25/20,Closed,,Farmington Hills,MI," $50,000 ",," $116,910 ","$66,910",57%," $10,000 ",," $40,019 ","$30,019",75%," $32,000 ",," $20,862 ","$11,138",-53%,10.00%,10.00%,10.00%,"$17,550",$0,$0,Solicitor 1 DC1,Solicitor 2 HSM,Solicitor 3 SXR,Contents Adjuster DXC,Lead DXC,Contents Adjuster RWS,Building Adjuster DXC,,,,
2017053,3/16/17,3/16/17,11/25/20,Closed,,Farmington Hills,MI," $1,500,000 ",," $1,460,040 ","$39,960",-3%, $-   ,, $-   ,$0,#DIV/0!," $50,000 ",," $268,281 ","$218,281",81%,10.00%,0.00%,10.00%,"$95,458","$77,378",$0,Solicitor 1 RPL,,Building Adjuster RPL,BI Adjuster HSM,Building Adjuster MAM,Building Support WLP,Lead HSM,Building Adjuster HSM,,,
2017019,1/18/17,1/20/17,11/25/20,Closed - Lawsuit,,West Bloomfield,MI," $225,000 ",," $309,974 ","$84,974",27%," $200,000 ",," $148,103 ","$51,897",-35%," $30,000 ",, $-   ,"$30,000",#DIV/0!,10.00%,10.00%,10.00%,"$45,760",$0,$0,Solicitor 1 EAG,,Lead DXC,Contents Adjuster MAD,Building Adjuster DXC,BI Adjuster MAD,,,,,
201276,3/3/12,3/5/12,11/25/20,Closed,,Southfield,MI, $-   ,, $-   ,$0,#DIV/0!, $-   ,, $-   ,$0,#DIV/0!, $-   ,, $-   ,0 ,#DIV/0!,0.00%,0.00%,0.00%,$0,$0,$0,Solicitor 1 CMG,,Lead DXC,Building Adjuster DXC,,,,,,,
2018032IL,1/23/18,1/28/18,11/18/20,Closed,,Prairie Du Chien,WI," $559,000 ",," $573,709 ","$14,709",3%," $104,000 ",," $115,796 ","$11,796",10%," $100,000 ",, $-   ,"$100,000",#DIV/0!,8.00%,8.00%,8.00%,"$60,216",$308,$0,Solicitor 1 SJG,,Building Adjuster HSM,Lead HSM,Contents Adjuster RWS,BI Adjuster HSM,BI Support WMB,Contents Adjuster HSM,,,
